"gender_feedback","admin_shown","sciences_shown","public_shown","female_pick","admin_pick","sciences_pick","public_pick","citizenship","gender","base_gender","choice1","choice2","choice3","choice4","choice5","choice6","choice7","gender_region","female_eastern","female_western","race","age","gender_code","race_code"
0,1,1,1,0,0,1,1,"Western","Woman",2,"Dora","Ning","Ky-chun","Lino","Banjerd","Kwang-je","Luis","Male_Western",0,0,"Asian / Pacific Islander",32,0,0
1,1,1,0,0,0,0,1,"Eastern","Man",2,"Lionello","Kobchitt","Arun","Kwang-je","Canfa","Catriona","Xuetao","Male_Eastern",0,0,"White / Caucasian",31,1,1
1,0,1,1,0,0,0,1,"Western","Woman",0,"Weilie","Roberto","Arun","Job-Gunter","Sandu","Lino","Ian","Male_Western",0,0,"Asian / Pacific Islander",31,0,0
1,1,1,0,1,0,0,1,"Eastern","Man",0,"Canfa","Sung-chul","Ciro","Shenggen","Xinyuan","Pichaet","Pasuk","Female_Eastern",1,0,"White / Caucasian",45,1,1
0,1,1,1,0,0,1,0,"Eastern","Woman",1,"Kitti","Udo","In-young","Ghillean","Ditmar","Ky-chun","Longjin","Male_Eastern",0,0,"White / Caucasian",41,0,1
1,1,1,0,0,0,0,1,"Western","Man",1,"Krasae","Bok-ryeo","Sandu","Kil-nam","Choong-soo","Arun","Engelbert","Male_Western",0,0,"White / Caucasian",34,1,1
0,1,1,1,0,0,1,1,"Eastern","Woman",0,"Shenggen","Xuetao","Alastair","Shaiwatna","Banjerd","Ludger","Jinghua","Male_Eastern",0,0,"White / Caucasian",44,0,1
1,0,1,1,0,0,0,1,"Western","Man",2,"Ning","Ping","Shenggen","Arun","Niyada","Sung-chul","Gernulf","Male_Western",0,0,"Black or African American",34,1,0
0,1,1,1,1,0,0,0,"Western","Man",1,"Dino","Xuhua","Russell","Sung-chul","Ghillean","Li","Catharine","Female_Western",0,1,"White / Caucasian",41,1,1
0,1,1,1,1,0,1,1,"Eastern","Man",1,"Bok-ryeo","Jong-sei","Nidhi","Luis","Xuetao","Jan","Krisana","Female_Eastern",1,0,"White / Caucasian",28,1,1
0,1,1,1,0,0,0,1,"Western","Woman",0,"Longjin","Ian","Yong-pil","Udo","Demetrio","Xuhua","Ditmar","Male_Western",0,0,"Asian / Pacific Islander",45,0,0
1,1,1,0,0,0,1,1,"Western","Woman",0,"Engelbert","Sung-chul","Kwang-je","Ferdinando","Ghillean","Shaiwatna","Luis","Male_Western",0,0,"White / Caucasian",63,0,1
0,1,1,1,0,0,0,1,"Western","Woman",1,"Shenggen","Junliang","Krasae","Choong-soo","Jong-sei","Kobchitt","Arun","Male_Western",0,0,"White / Caucasian",24,0,1
0,1,1,1,1,0,0,1,"Eastern","Woman",1,"Luis","Baek-in","Canfa","Mandy","Jong-sei","Nidhi","Kesree","Female_Eastern",1,0,"White / Caucasian",41,0,1
1,0,1,1,0,0,0,1,"Western","Woman",2,"Isabel","Nidhi","Xinyuan","Yong-pil","Miaoqing","In-jin","Demetrio","Male_Western",0,0,"White / Caucasian",55,0,1
1,1,1,0,0,0,1,1,"Eastern","Man",1,"Ghillean","Xiaoyi","Longjin","Shaiwatna","Arun","Roberto","Kitti","Male_Eastern",0,0,"White / Caucasian",42,1,1
1,0,1,1,0,0,1,1,"Western","Woman",1,"Yong-pil","Canfa","Sandu","Baek-in","Choong-soo","Dong","Ciro","Male_Western",0,0,"White / Caucasian",42,0,1
1,0,1,1,0,0,0,1,"Eastern","Man",2,"Ping","Renato","Melanie","Demetrio","Wedig","Renata","Shenggen","Male_Eastern",0,0,"White / Caucasian",26,1,1
0,1,1,1,0,0,0,1,"Western","Woman",0,"Luis","Somran","Pichaet","Shaiwatna","Engelbert","Weilie","Lionello","Male_Western",0,0,"White / Caucasian",48,0,1
0,1,1,1,0,0,0,1,"Eastern","Woman",1,"Ethel","In-jin","Xinyuan","Lionello","Wedig","Gerardo","Nidhi","Male_Eastern",0,0,"White / Caucasian",46,0,1
1,1,1,0,0,0,1,0,"Eastern","Man",1,"Kyongae","Ciro","Shaiwatna","Shenggen","Sandu","Engelbert","Xuhua","Male_Eastern",0,0,"White / Caucasian",44,1,1
0,1,1,1,0,0,0,1,"Eastern","Woman",1,"Ping","Lionello","Pasuk","Ditmar","Job-Gunter","Raymond","Nidhi","Male_Eastern",0,0,"White / Caucasian",65,0,1
0,1,1,1,0,0,1,1,"Western","Woman",0,"Engelbert","Choong-soo","Xinyuan","Udo","Sujin","Garry","Luis","Male_Western",0,0,"White / Caucasian",57,0,1
1,0,1,1,1,0,0,1,"Western","Woman",2,"Roberto","Catriona","Kwang-je","Allen","Miaoqing","Somsak","Eugenia","Female_Western",0,1,"White / Caucasian",48,0,1
1,1,0,1,1,0,0,0,"Eastern","Non-binary",2,"In-jin","Miaoqing","Baek-in","Arun","Ludger","Mandy","Choon-mie","Female_Eastern",1,0,"Black or African American",32,0,0
0,1,1,1,0,0,0,1,"Western","Man",1,"Heike","Raymond","Somsak","Nidhi","Kitti","Claus-Peter","Roberto","Male_Western",0,0,"White / Caucasian",23,1,1
0,1,1,1,0,0,0,1,"Eastern","Woman",0,"Krasae","Jong-sei","Shenggen","Engelbert","Raymond","Job-Gunter","Ping","Male_Eastern",0,0,"White / Caucasian",69,0,1
0,1,1,1,0,0,0,1,"Eastern","Woman",2,"Beatrix","Niyada","Demetrio","Allen","Udo","Kil-nam","Weilie","Male_Eastern",0,0,"White / Caucasian",46,0,1
1,1,1,0,0,0,0,1,"Western","Man",1,"Junliang","Baek-in","Kwang-je","In-jin","Yinhe","Jong-sei","Engelbert","Male_Western",0,0,"Asian / Pacific Islander",36,1,0
1,1,1,0,0,0,1,1,"Western","Woman",3,"Shareen","Ludger","Udo","Li","Longjin","Mariassunta","Alastair","Male_Western",0,0,"Asian / Pacific Islander",27,0,0
