"ParticipantID","western_female","eastern_female","female_pick","gender_feedback","western_participant","eastern_participant","higher_incentive","Chinese_female","SouthKorean_female","Italian_female","German_female","is_chinese_participant","is_korean_participant","is_italian_participant","is_german_participant","gender_male","race_white","age","country","cond","Q33_1","Q33_2","Q33_3","Q33_4","Q33_5","Q33_6","Q33_7","Q33_8","Q33_9","Q33_10","Q33_11","Q33_12","Q33_13","Q33_14","Q33_15","Q33_16","Q33_17","Q33_18","Q33_19","Q33_20","Q33_21","Q33_22","Q33_23","Q33_24","Professor1","Professor2","Professor3","Professor4","Professor5","Professor6","Professor7","Professor8","Professor9","Professor10","Professor11","Professor12","Professor13","Professor14","Professor15","Professor16","Professor17","Professor18","Professor19","Professor20","Professor21","Professor22","Professor23","Professor24","P_gender_unrecognized"
1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,26,"South Korea","treat","Male","Male","Female","Male","Unknown","Unknown","Male","Female","Male","Unknown","Male","Male","Male","Male","Male","Male","Male","Male","Female","Unknown","Male","Male","Male","Male","Gontard","Xuetao","Ana","Yong-pil","Weilie","Sung-chul","Canfa","Eugenia","In-jin","Ky-chun","Ludger","Ferdinando","Renato","Udo","Longjin","Ping","Luis","Engelbert","Yeong-hui","Wedig","Ning","Lionello","Lino","Choong-soo",0.166666666666667
2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,29,"South Korea","control","Male","Male","Male","Male","Female","Male","Male","Male","Female","Female","Female","Male","Female","Male","Male","Male","Male","Female","Male","Female","Male","Male","Male","Female","Baek-in","Ferdinando","Kil-nam","Engelbert","Junliang","Renato","Longjin","Job-Gunter","Zhizhen","Jinghua","Isabel","Gernulf","Dora","Gontard","Luis","Gerardo","Xuetao","In-jin","Dino","Choon-mie","Ditmar","Ky-chun","Jong-sei","Xuhua",0
3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,43,"South Korea","control","Female","Female","Female","Male","Male","Male","Female","Male","Male","Male","Female","Male","Female","Female","Male","Female","Female","Female","Male","Male","Male","Female","Female","Male","Sung-hee","Ning","Greta","Gernulf","Luis","Yong-pil","Shenggen","Ping","Demetrio","Udo","Kwang-je","Canfa","Mariassunta","Jan","Lionello","Ky-chun","Longjin","Sung-chul","In-jin","Claus-Peter","Ditmar","Ciro","Xinyuan","Dino",0
4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,41,"South Korea","control","Male","Female","Male","Male","Female","Female","Female","Male","Male","Female","Female","Male","Male","Male","Male","Female","Female","Male","Male","Female","Female","Male","Male","Male","Ferdinando","Trude","Ciro","Longjin","Eugenia","Luis","Renato","Jan","Junliang","Canfa","Sung-hee","Yong-pil","Zhizhen","Weilie","Jong-sei","Udo","Baek-in","Wedig","Xuhua","Engelbert","Ditmar","Demetrio","Kwang-je","Kil-nam",0
5,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,27,"South Korea","treat","Female","Female","Male","Female","Male","Female","Female","Male","Male","Male","Male","Male","Female","Male","Male","Male","Male","Male","Female","Female","Male","Female","Male","Female","Longjin","Greta","Gontard","Canfa","Yong-pil","Jan","Mariassunta","Dino","Job-Gunter","Ky-chun","Sung-chul","Ciro","Jinghua","Junliang","Engelbert","Luis","Demetrio","Ferdinando","Sung-hee","Jong-sei","Gernulf","Weilie","Bong-ho","Ning",0
6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,27,"South Korea","control","Male","Female","Female","Male","Male","Male","Female","Male","Male","Male","Male","Male","Male","Female","Male","Female","Male","Female","Female","Male","Male","Male","Female","Male","Xuhua","Ethel","Longjin","Choong-soo","Xuetao","Roberto","Yunhui","Udo","Lionello","Bong-ho","Weilie","Gontard","Gerardo","Jinghua","Ludger","Renato","Hwa-jin","Maria","Ky-chun","Sung-chul","Job-Gunter","Dino","Jong-sei","Jan",0
7,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,36,"South Korea","treat","Female","Female","Male","Male","Female","Male","Male","Female","Female","Female","Male","Male","Female","Male","Male","Male","Unknown","Female","Male","Male","Female","Female","Male","Female","Bong-ho","In-jin","Gontard","Trude","Ciro","Xinyuan","Luis","Jan","Canfa","Lucetta","Ky-chun","Ferdinando","In-young","Longjin","Gernulf","Baek-in","Lionello","Engelbert","Renato","Kil-nam","Xuhua","Wedig","Xuetao","Li",0.0416666666666667
8,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,22,"South Korea","treat","Male","Female","Female","Female","Male","Female","Male","Male","Male","Male","Male","Male","Female","Male","Female","Female","Male","Female","Female","Female","Female","Male","Male","Female","Gernulf","Sung-chul","Choong-soo","Shenggen","Canfa","Eugenia","Yong-pil","Lionello","Ditmar","Roberto","Kil-nam","Ludger","Junliang","Xuetao","Ciro","Sucheng","Claus-Peter","In-jin","Wedig","Greta","Lino","Demetrio","Hong-nam","Xinyuan",0
9,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,51,"South Korea","control","Male","Female","Male","Male","Female","Female","Male","Male","Female","Female","Male","Male","Male","Female","Female","Male","Female","Female","Male","Female","Female","Male","Male","Female","Ping","Isabel","Ferdinando","Renato","Ciro","Weilie","Dong","Kwang-je","Wedig","Jan","Canfa","Sung-chul","Sung-hee","Luis","Kil-nam","Longjin","Udo","Anty","Gontard","Xuetao","Ditmar","Roberto","Baek-in","Choong-soo",0
10,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,23,"South Korea","treat","Male","Male","Female","Female","Male","Male","Male","Male","Male","Male","Male","Male","Female","Male","Female","Male","Female","Male","Male","Male","Male","Female","Male","Male","Roberto","Gontard","Xuhua","Canfa","Kil-nam","Hwa-jin","Ky-chun","Engelbert","Lino","Renato","Gernulf","Wedig","Baek-in","Xuetao","Heike","Longjin","Li","Demetrio","Jinghua","Ludger","Gerardo","Lucetta","In-jin","Bong-ho",0
